,interacted,mask
0,71,1
1,15,1
2,1000,1
3,1000,0
4,1000,0
5,1000,1
6,1000,0
7,1000,0
8,1000,1
9,183,1
10,153,1
11,1000,1
12,1000,0
13,1000,1
14,96,1
15,0,1
16,1000,0
17,976,0
18,975,1
19,973,0
20,1000,1
21,1000,1
22,0,1
23,367,1
24,134,1
25,9,1
26,0,1
27,7,1
28,1000,0
29,1000,1
30,0,1
31,0,1
32,4,1
33,163,1
34,0,1
35,0,1
36,1000,0
37,0,1
38,0,1
39,1000,0
40,1000,1
41,1000,0
42,1191,1
43,0,1
44,1000,0
45,1000,1
46,1000,1
47,1000,1
48,1000,0
49,0,1
50,0,1
51,1181,0
52,1000,0
53,1178,1
54,1000,1
55,1000,1
56,116,1
57,1000,0
58,1175,1
59,24,1
60,1174,1
61,79,1
62,10,1
63,1166,1
64,0,1
65,1000,0
66,1000,1
67,1000,0
68,1000,1
69,14,1
70,1000,1
71,58,1
72,1000,0
73,1000,0
74,1182,1
75,1000,1
76,1000,1
77,62,1
78,0,0
79,1000,1
80,1000,0
81,1000,1
82,24,0
83,7,1
84,0,1
85,1000,1
86,1174,1
87,1000,1
88,321,1
89,1172,0
90,85,1
91,1169,1
92,0,1
93,1000,1
94,1000,1
95,1000,1
96,1167,1
97,1166,1
98,1000,1
99,1000,1
100,1000,1
101,1000,1
102,1000,1
103,1000,1
104,1000,1
105,1000,1
106,1000,0
107,1000,0
108,1000,0
109,1000,0
110,0,1
111,0,1
112,0,1
113,1000,0
114,0,1
115,1000,1
116,1000,0
117,1000,1
118,1000,1
119,1000,1
120,1000,1
121,1000,1
122,1000,1
123,1000,1
124,0,1
125,0,0
126,8,1
127,1000,1
128,1000,1
129,1000,1
130,1000,1
131,1000,1
132,0,1
133,1000,1
134,1000,0
135,1000,1
136,72,1
137,1000,0
138,1000,1
139,59,1
140,1000,1
141,1000,1
142,1000,1
143,1000,1
144,47,1
145,7,1
146,1000,1
147,14,1
148,1000,1
149,1000,1
150,1000,1
151,51,0
152,1000,1
153,0,1
154,1000,1
155,39,0
156,1000,0
157,1000,1
158,1000,1
159,1179,1
160,1000,1
161,1000,1
162,1000,1
163,1000,0
164,8,0
165,1000,1
166,1033,1
167,1000,1
168,1000,1
169,1000,0
170,1000,1
171,131,1
172,1000,1
173,1000,1
174,1000,1
175,1000,1
176,95,1
177,13,0
178,9,1
179,1000,0
180,0,0
181,960,1
182,1000,1
183,1000,1
184,1043,1
185,1043,1
186,1000,1
187,1043,1
188,101,0
189,1000,1
190,1042,1
191,1000,0
192,1000,1
193,1000,1
194,1000,1
195,1000,0
196,123,0
197,1000,1
198,39,1
199,1039,1
200,0,1
201,1037,1
202,1037,1
203,1037,0
204,1000,1
205,1000,1
206,1000,1
207,1000,0
208,21,1
209,1000,0
210,1034,1
211,0,1
212,2,0
213,1000,1
214,1032,0
215,16,1
216,1032,1
217,1000,1
218,1000,0
219,1000,1
220,1031,1
221,112,0
